ID	fdr_pval	pval	zval	Qval	Qpval	tau2	Gene_Name
A1CF	0.793111144490865	0.565468791103255	0.574737574866731	7.17547322035459	0.0276608669490234	0.44585064427769	APOBEC1 complementation factor
A2M	0.823705243175593	0.622517599244951	-0.492285400829128	1.64211572807844	0.439965984048406	0	alpha-2-macroglobulin
A4GALT	0.154752781240693	0.0173130747492363	2.3799907050861	0.452674264698829	0.797449210416405	0	alpha 1,4-galactosyltransferase (P blood group)
A4GNT	0.228008097681395	0.0391569955396609	2.0625332478103	2.42053676701531	0.298117258936631	0.0359615950076891	alpha-1,4-N-acetylglucosaminyltransferase
AAAS	0.109772529563441	0.00819537420122174	2.64391289960374	0.642306544626638	0.725312072210858	0	aladin WD repeat nucleoporin
AACS	0.513371451283103	0.216505951310602	-1.23587252476646	0.675702884754111	0.713301246365222	0	acetoacetyl-CoA synthetase
AADAC	0.212962668520027	0.0338628764076609	2.12170074053358	1.24426033168572	0.536799746352294	0	arylacetamide deacetylase
AAGAB	0.480148111175816	0.1885991705532	-1.31473443139895	2.32195224071143	0.313180329938161	0.0260886931282906	alpha and gamma adaptin binding protein
AAK1	0.65465568218982	0.369223051898814	-0.897929658101588	4.36233125575707	0.112909843045179	0.199211266771139	AP2 associated kinase 1
AAMDC	0.646254317425697	0.359632165098	0.916066217714337	0.179782169565792	0.914030731705652	0	adipogenesis associated Mth938 domain containing
AAMP	0.739996084280441	0.480880623990949	-0.704886898648323	2.45425425694411	0.293133504063464	0.0367410288734648	angio associated migratory cell protein
AANAT	0.629782728791409	0.339289845167288	0.955569364887593	4.2209898777417	0.12117797589822	0.182317679672029	aralkylamine N-acetyltransferase
AAR2	0.254991777878537	0.0489708692160509	1.96884520699865	0.990856652064163	0.609309868117244	0	AAR2 splicing factor homolog
AARS	0.173389708707909	0.0215754126582333	-2.29776070026066	1.48177854168417	0.47668982062317	0	alanyl-tRNA synthetase
AARSD1 /// PTGES3L /// PTGES3L-AARSD1	0.901387210505773	0.758272014511736	0.307750730441967	2.56440443097308	0.277425676115779	0.0458740103746518	NA
AASDHPPT	0.580191028930024	0.283655455952582	-1.07214378313324	5.70492655015954	0.0577020097484058	0.323192425538334	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	0.655471410711145	0.370682056386628	0.895196498137775	3.00437727923177	0.222642342663493	0.0832084224610567	aminoadipate-semialdehyde synthase
AATF	0.653955043928844	0.368179351036225	0.89988895027155	2.33959573661748	0.310429682601027	0.0279524560785727	apoptosis antagonizing transcription factor
AATK	0.884466914814736	0.727688930308726	-0.348201408173502	4.60820571607209	0.099848338618086	0.215624837955241	apoptosis associated tyrosine kinase
ABAT	0.771134308158105	0.528962821590698	-0.629590070781128	1.09613062474604	0.578067108502939	0	4-aminobutyrate aminotransferase
ABCA1	0.521724369377774	0.225507122395102	1.21201373665627	0.737455453531816	0.691613692713893	0	ATP binding cassette subfamily A member 1
ABCA11P	0.977096088301927	0.938525360964217	0.0771234213271482	2.65423074085632	0.265241281656916	0.0535036753983511	ATP binding cassette subfamily A member 11, pseudogene
ABCA12	0.922545956638782	0.80897655579214	0.241746552114436	1.19209534502205	0.55098501152619	0	ATP binding cassette subfamily A member 12
ABCA2	0.793111144490865	0.565476802686938	0.574725730669722	2.23479461232221	0.327130107105788	0.0191592823221134	ATP binding cassette subfamily A member 2
ABCA3	0.641898770145561	0.354757975397676	0.925399814274487	0.139972406163622	0.932406684155945	0	ATP binding cassette subfamily A member 3
ABCA4	0.553105943175007	0.257788704110941	1.13163313348587	2.25343851921409	0.324094785022619	0.0205931695711554	ATP binding cassette subfamily A member 4
ABCA5	0.140503289335088	0.0141836231717154	-2.45257899793035	6.98751608722694	0.0303864636740585	0.499365468008616	ATP binding cassette subfamily A member 5
